variable,tau_0.1,tau_0.25,tau_0.5,tau_0.75,tau_0.9
const,11.849922509837597,12.9340569752776,12.905365898221135,12.759226198375472,12.595247685585491
ln_sqft,0.357906558015884,0.31315890465566554,0.27515897025811853,0.2371397708989207,0.2512239633365425
bedrooms,-0.08509469951411575,-0.07625745069513812,-0.0638549497104961,-0.03746177047793253,-0.03410255263050033
bathrooms,0.1566429969949361,0.1950009997400457,0.23448904213131527,0.25865196614199704,0.25930494669773907
age,-0.4300731898485992,-0.2013515666214971,-0.06554365595138734,-0.007241910385346273,-0.02550229170219609
age_sq,0.04795536590722804,0.049199292479329415,0.047199019410783194,0.0371015179084111,0.03769790562205344
stories,0.0010185912817231024,0.0007388941498257529,0.0004229117881728861,6.514740521970652e-05,-0.0003417682422606205
bath_per_bed,-0.0099584967795181,-0.034250431416580795,-0.043648046694777065,-0.04211958023972784,-0.0280950675683016
sqft_per_bed,-0.058342276302596474,-0.016745977628147557,0.01765566532267826,0.06485749954231323,0.07920784764269229
ln_lot,0.04514794272755296,0.05073463930068556,0.061395118988230024,0.07026873810184497,0.08596878008472686
has_pool,0.007619114257181536,0.007567236582929127,0.01852448921101768,0.06089096990388043,0.0943265007304035
has_spa,0.03874780628530061,0.0180789066290572,0.022480035755336303,0.01713714070928063,0.0005072080659260791
has_basement,-0.014815995963431305,-0.021878514973792562,-0.03292261803750307,-0.05359667516574973,-0.07553003676675019
has_fireplace,0.04143406040316222,0.009673776584136817,-0.012110259046437477,-0.030380737792256696,-0.032952579822222106
has_garage,0.2053782753120288,0.14566117388744715,0.10218886135783123,0.06149881536930479,0.020372741030087127
on_waterfront,-0.09992358214367414,-0.1768454478269632,-0.25268568768296973,-0.13252779024332995,-0.32238715834546383
has_central_air,0.11740902357462346,0.08029035727824407,0.0520164489072954,0.0327931879610901,0.016032078730745525
has_forced_air,0.0008684938962915112,-0.005696801255226092,-0.011830238361042689,-0.023570379195859914,-0.01813350176678341
has_hardwood,0.10016602236504468,0.10380894856638179,0.12116497595869191,0.13110461290477815,0.1330114799447415
parking_spaces,-0.013349256571308032,691.2545724222437,317.1821111976169,-97.82401308976114,-527.3458635360003
luxury_score,0.01795960286455056,0.03786385584298557,0.05448826598863832,0.06812524466482728,0.07188080508194616
walk_score,-0.028821622997128316,-0.022953879673423216,-0.009698874555368775,0.0032705419677938607,0.005246771724500832
bike_score,0.04614100701697055,0.05065453518817975,0.06054683836375574,0.07629735539659066,0.08579684220330819
transit_score,0.04534395234946942,0.04497839103453316,0.04730634611325968,0.05451710282051181,0.046503147576459014
avg_school_rating,-0.030127607614179652,-0.02716668107517961,-0.030166600347527606,-0.035105525183567465,-0.0420894113329382
school_count,-0.004427547246081076,-0.0030891381105391247,-0.0018832999121798366,-0.0006446806877562494,0.002757283807554245
nearest_school_distance,-0.009825656338108502,-0.011944345715932059,-0.012153764041791248,-0.011324228484667742,-0.010279004824106153
property_tax_rate,-0.004190249743572849,-0.009798506651442551,-0.019304189575279906,-0.03103226526980052,-0.036209969742230896
is_condo,-0.16580809676270292,-0.1452260638673124,-0.07976984357242145,-0.010947594474828293,0.061623717147995194
has_hoa,-0.10534155607763296,-0.1127840169685328,-0.10753730031827047,-0.10247201722563659,-0.09284689174728555
ln_hoa,0.07649782561563256,0.06853089826370251,0.05281376308886365,0.03951118575315604,0.017864670559447404
tag_new_construction,0.07909377418218355,0.06849862210100355,0.07785836930290202,0.09124375008067886,0.09600302724129506
tag_foreclosure,-0.49355306301913515,-0.4725296085081965,-0.37856554145173504,-0.3266230110490369,-0.33831893924320866
sqft_x_age,0.18235567125043417,0.012388534724777855,-0.08005913709064316,-0.09555883228858875,-0.046699518800778606
pool_x_south,0.006391342583270898,0.005893986986379218,0.005282726790028391,-0.008522821525474455,-0.022043326090674498
waterfront_x_sqft,0.09101773103611777,0.12208861861631704,0.1619417999977486,0.14575440967382747,0.21681571210791617
basement_x_north,-0.01805429847563289,-0.01824052704745327,-0.01526305193999633,-0.013064216110876714,-0.009582837122181331
