variable,mean,std,cv,min,max,sign_stability_pct
ln_sqft,0.27558566047790267,0.007979984014337372,0.02895645586384649,0.262514683814004,0.2900398080532227,100.0
bedrooms,-0.06142257416409365,0.004480907820546131,0.07295213334066966,-0.06913189094325389,-0.054417035188123464,100.0
bathrooms,0.23220617716563724,0.006744238765673522,0.029044183268486966,0.22281742264428317,0.24461819377052052,100.0
age,-0.03969330329951788,0.031183454933027,0.7856099729902236,-0.07583002057288013,0.022312495054848114,80.0
age_sq,0.050343360580962934,0.0026491273568429734,0.05262118631477944,0.046627963846447074,0.05592350627859943,100.0
ln_lot,0.06060109559464877,0.0016125727580704344,0.02660963044062241,0.05783164475802849,0.0641852605609472,100.0
has_pool,0.016577784234322122,0.0055332431489157,0.33377459078396304,0.0035241913606114394,0.02496500668226531,100.0
has_garage,0.09990595309004817,0.004129161681175362,0.04133048685751116,0.0901809332771677,0.10381395666040305,100.0
luxury_score,0.05756019615266013,0.0027435091359714605,0.047663304146760975,0.05414168863399027,0.06371949082392803,100.0
tag_foreclosure,-0.3562744038685913,0.02524205704178479,0.07085004358352698,-0.39371881834512124,-0.3221903705132263,100.0
on_waterfront,-0.2042347839611466,0.08628320336420031,0.4224706570092131,-0.3556472523987395,-0.10086182450322667,100.0
region_Northeast,0.46859634937051736,0.007284731033566231,0.015545855283234872,0.4566879873166698,0.48347329526316685,100.0
region_West,0.3766292734287077,0.0038280863563525894,0.010164070151804622,0.3697378442065542,0.3830368936470734,100.0
